t(us) chan[0] chan[1] chan[2] chan[3]
74000.000000 -298502 -298130 2529854 1036996
74250.000000 -298541 -298130 2527102 1036943
74500.000000 -298473 -298212 2529973 1037687
74750.000000 -298495 -298188 2531505 1037977
75000.000000 -298490 -298134 2524397 1034611
75250.000000 -298493 -298129 2514385 1024937
75500.000000 -298500 -298081 2511980 1012034
75750.000000 -298438 -298042 2512574 1007327
76000.000000 -298486 -298052 2507119 1006737
76250.000000 -298536 -298117 2512220 999111
76500.000000 -298493 -298095 2519848 1005760
76750.000000 -298467 -298108 2519260 1021775
77000.000000 -298462 -298154 2510054 1024867
77250.000000 -298532 -298127 2511829 1029417
77500.000000 -298560 -298151 2519982 1027030
77750.000000 -298531 -298170 2512274 1014691
78000.000000 -298509 -298235 2506650 1001342
78250.000000 -298475 -298233 2502652 983313
78500.000000 -298508 -298156 2492663 963234
78750.000000 -298580 -298176 2486796 950756
79000.000000 -298498 -298150 2479417 928889
79250.000000 -298427 -298168 2472213 912775
79500.000000 -298462 -298214 2474391 897682
79750.000000 -298410 -298174 2468534 873475
80000.000000 -298449 -298132 2464705 850605
80250.000000 -298465 -298218 2459371 835997
80500.000000 -298519 -298243 2449036 820347
80750.000000 -298459 -298307 2436499 810544
81000.000000 -298474 -298238 2428184 803361
81250.000000 -298442 -298208 2430167 785889
81500.000000 -298449 -298249 2421734 769334
81750.000000 -298442 -298284 2421960 762667
82000.000000 -298470 -298202 2421323 761472
82250.000000 -298478 -298159 2423785 761065
82500.000000 -298441 -298205 2419791 752540
82750.000000 -298444 -298291 2428734 750342
83000.000000 -298429 -298244 2429557 754231
83250.000000 -298440 -298246 2428128 751719
83500.000000 -298430 -298239 2430694 752799
83750.000000 -298443 -298246 2429406 760441
84000.000000 -298430 -298250 2428907 759710
84250.000000 -298507 -298278 2430168 767116
84500.000000 -298488 -298222 2435833 773588
84750.000000 -298429 -298246 2437114 787417
85000.000000 -298473 -298241 2439714 795952
85250.000000 -298501 -298261 2435888 804089
85500.000000 -298511 -298284 2439055 813266
85750.000000 -298487 -298249 2450670 812769
86000.000000 -298489 -298221 2447858 810506
86250.000000 -298544 -298221 2441490 812307
86500.000000 -298482 -298250 2437880 811868
86750.000000 -298497 -298238 2443299 800194
87000.000000 -298512 -298201 2438959 789635
87250.000000 -298480 -298249 2434537 790576
87500.000000 -298452 -298281 2434194 796933
87750.000000 -298461 -298257 2438006 807044
88000.000000 -298482 -298263 2439114 819483
88250.000000 -298493 -298279 2443971 826590
88500.000000 -298490 -298319 2455328 841187
88750.000000 -298528 -298287 2461575 865376
89000.000000 -298478 -298270 2464548 884076
89250.000000 -298445 -298182 2469942 903420
89500.000000 -298427 -298183 2476259 922501
89750.000000 -298465 -298166 2490818 941583
90000.000000 -298507 -298196 2499307 957878
90250.000000 -298489 -298233 2505897 975887
90500.000000 -298495 -298263 2515956 990748
90750.000000 -298500 -298154 2515796 1009518
91000.000000 -298466 -298149 2515850 1020064
91250.000000 -298455 -298191 2518875 1035998
91500.000000 -298542 -298192 2524697 1050155
91750.000000 -298520 -298146 2523188 1058089
92000.000000 -298503 -298159 2523806 1064875
92250.000000 -298571 -298238 2525777 1064076
92500.000000 -298647 -298128 2530665 1064757
92750.000000 -298551 -298078 2526935 1057370
93000.000000 -298571 -298191 2525223 1050987
93250.000000 -298529 -298096 2526770 1056704
93500.000000 -298454 -298062 2535790 1055989
93750.000000 -298491 -298070 2535630 1048030
94000.000000 -298501 -298122 2527270 1044330
94250.000000 -298454 -298145 2520388 1043754
94500.000000 -298528 -298136 2518294 1037285
94750.000000 -298514 -298144 2515638 1031626
95000.000000 -298454 -298173 2508642 1024964
95250.000000 -298471 -298158 2504906 1023158
95500.000000 -298501 -298123 2511232 1015862
95750.000000 -298492 -298111 2512104 1003626
96000.000000 -298476 -298162 2511122 1002845
96250.000000 -298517 -298227 2514874 1004955
96500.000000 -298522 -298181 2509530 1004835
96750.000000 -298521 -298130 2504535 1012234
97000.000000 -298448 -298181 2516865 1018999
97250.000000 -298454 -298180 2514544 1020892
97500.000000 -298541 -298163 2519882 1019766
97750.000000 -298492 -298174 2524602 1010674
98000.000000 -298436 -298110 2514049 990764
98250.000000 -298440 -298149 2509642 971433
98500.000000 -298518 -298174 2510676 966814
